          ID   lat_alloc   lon_alloc  area_alloc     lat_ori     lon_ori loc_km_diff      ix      ix
         283      43.015     144.116     252.086      43.015     144.116       0.045   17364    5030
         284      43.074     144.233     657.654      43.074     144.233       0.045   17448    4987
         285      43.012     144.270     685.671      43.011     144.270       0.090   17475    5032
         286      43.119     144.119     158.958      43.119     144.119       0.034   17366    4955
         287      43.373     144.981     223.908      43.373     144.982       0.062   17987    4772
         288      43.391     145.127     375.618      43.390     145.127       0.108   18092    4759
         289      43.553     144.976     409.773      43.553     144.977       0.118   17983    4642
         290      43.585     145.022     421.023      43.585     145.023       0.127   18016    4619
         291      43.638     145.081     677.603      43.640     145.079       0.271   18059    4581
         292      43.673     145.122       1.397      43.674     145.121       0.128   18088    4556
         293      42.955     144.033       1.568      42.955     144.033       0.034   17304    5073
         294      43.013     144.308      13.937      43.013     144.307       0.056   17502    5031
         295      44.549     142.935      93.170      44.549     142.935       0.048   16514    3925
         296      44.005     144.103      16.460      44.005     144.104       0.046   17355    4317
         297      43.923     144.297     162.923      43.923     144.296       0.042   17494    4376
         298      44.022     145.188      30.482      44.022     145.188       0.055   18136    4305
         299      42.581     143.476      61.305      42.581     143.477       0.111   16903    5342
         300      42.506     143.417     130.505      42.506     143.418       0.060   16861    5396
         301      42.448     143.294      50.414      42.448     143.294       0.022   16772    5438
         302      42.313     143.320     117.984      42.314     143.320       0.090   16791    5535
         303      42.285     143.299      30.545      42.285     143.300       0.074   16776    5555
         304      44.010     144.265       3.111      44.011     144.264       0.080   17471    4313
         305      43.142     141.644       5.345      43.143     141.644       0.074   15584    4938
         306      43.485     141.897      43.509      43.485     141.899       0.206   15766    4691
         307      43.495     141.894    8742.533      43.495     141.894       0.025   15764    4684
         308      43.483     141.890      58.494      43.481     141.888       0.222   15761    4693
         309      43.490     141.883    8743.350      43.489     141.882       0.083   15756    4688
         310      43.890     142.655    1069.860      43.889     142.655       0.065   16312    4400
         311      43.778     142.358    1892.149      43.778     142.358       0.061   16098    4480
         312      43.765     142.277    3317.492      43.764     142.276       0.109   16040    4490
         313      43.717     142.133    3534.186      43.718     142.133       0.076   15936    4524
         314      43.715     142.047    3604.623      43.716     142.046       0.162   15874    4526
         315      43.676     141.983       3.215      43.677     141.982       0.153   15828    4554
         316      43.635     141.913    5427.690      43.636     141.918       0.393   15778    4583
         317      43.559     141.885    5688.922      43.559     141.884       0.116   15758    4638
         318      43.501     141.903       2.105      43.502     141.903       0.149   15771    4680
         319      43.431     141.845    8941.851      43.432     141.839       0.505   15729    4730
         320      43.330     141.694    9286.726      43.332     141.691       0.328   15620    4803
         321      43.222     141.667     320.678      43.221     141.666       0.126   15601    4881
         322      43.124     141.542   12651.872      43.122     141.542       0.257   15511    4951
         323      43.167     141.419       3.604      43.167     141.420       0.110   15422    4920
         324      43.237     141.348   14283.287      43.237     141.346       0.158   15371    4870
         325      43.247     141.358   14289.806      43.248     141.357       0.172   15378    4863
         326      43.167     141.348     125.952      43.167     141.348       0.041   15371    4920
         327      43.147     141.313       9.690      43.146     141.313       0.060   15346    4935
         328      43.159     141.348      27.245      43.159     141.348       0.008   15371    4926
         329      43.147     141.315       9.726      43.147     141.315       0.062   15347    4935
         330      43.148     141.317      19.080      43.148     141.318       0.052   15349    4934
         331      43.220     141.526     274.488      43.220     141.526       0.029   15499    4882
         332      43.183     141.492     307.924      43.183     141.491       0.117   15475    4909
         333      42.873     141.153      64.689      42.873     141.153       0.040   15231    5132
         334      42.965     141.159     215.743      42.964     141.159       0.065   15235    5066
         335      42.966     141.284     513.679      42.966     141.284       0.005   15325    5065
         336      42.966     141.316     536.554      42.966     141.316       0.004   15348    5065
         337      42.967     141.322     537.076      42.966     141.322       0.156   15352    5064
         338      43.030     141.355     627.993      43.030     141.354       0.071   15376    5019
         339      43.072     141.401     631.972      43.071     141.401       0.063   15409    4989
         340      43.169     141.592      43.538      43.169     141.592       0.041   15547    4919
