        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
       292    48.829  -113.521      -888.0       167.8        -8.0      -888.0     242     164        79.9  1920  LakeSherburne                   SwiftCurrentCreek             
       294    48.804  -119.487      -888.0       115.2        -8.0      -888.0     280     166        17.4  1909  Conconully                      SalmonCreek                   
       295    48.529  -107.521      -888.0        92.4        -8.0      -888.0     280     166        97.7  1914  NelsonDike                      NoName                        
       296    48.496  -113.262      -888.0       142.0        -8.0      -888.0     280     166        31.0  1967  LowerTwoMedicine                TwoMedicineCreek              
       298    48.346  -112.696      -888.0        42.6        -8.0      -888.0     259     167        37.0  1932  FourHorns                       BigPlumCoulee                 
       301    48.287  -112.271      -888.0        35.0        -8.0      -888.0     276     167       164.1  1909  LakeFrancesEastDam              Trib.DryForkofMariasRiver     
       302    48.279  -118.379      -888.0        81.1        -8.0      -888.0     276     167        23.4  1931  TwinLakes                       StrangerCreek                 
       303    48.229  -117.287      -888.0        36.7        -8.0      -888.0     276     167        15.6  1960  DavisLakeDam                    DeerCreek                     
       304    48.179  -114.621      -888.0        98.8        -8.0      -888.0     276     167        34.0  1928  Ashley                          AshleyCreek                   
       308    47.962  -112.412      -888.0       110.8        -8.0      -888.0     295     169       132.0  1926  BynumReservoirDam               MillerCreek                   
       312    47.929  -114.737      -888.0       278.7        -8.0      -888.0     244     169        19.5  1923  Hubbart                         LittleBitterrootRiver         
       314    47.762  -117.087      -888.0        73.5        -8.0      -888.0     250     169        13.9  1976  NewmanLakeFloodControlDam       ThompsonCreek                 
       317    47.671  -112.487      -888.0         7.8        -8.0      -888.0     264     170        57.6  1930  PishkunDike1                    Trib.DeepCreek                
       318    47.646  -114.146      -888.0         6.5        -8.0      -888.0     264     170        36.5  1914  Pablo                           OffstreamPabloCanal           
       320    47.546  -112.429      -888.0       273.3        -8.0      -888.0     269     170        49.1  1910  WillowCreek                     WillowCreek                   
       321    47.504  -114.229      -888.0       450.5        -8.0      -888.0     269     170        12.8  1933  Crow                            CrowCreek                     
       322    47.487  -112.537      -888.0        10.4        -8.0      -888.0     269     170        19.2  1951  NilanEastDam                    Trib.ElkCreek                 
       323    47.446  -119.246      -888.0       492.9        -8.0      -888.0     269     170        26.1  1947  Pinto                           OffstreamCrabCreek            
       324    47.421  -114.162      -888.0        39.2        -8.0      -888.0     269     170        18.7  1923  Ninepipe                        Trib.DublinGulch              
       325    47.262  -113.929      -888.0        20.9        -8.0      -888.0     269     170        28.7  1930  Tabor                           DryCreek                      
       326    47.096  -108.562      -888.0        14.4        -8.0      -888.0     269     170        26.8  1911  WarhorseDam                     OffstreamFordsCreek           
       333    46.704  -119.029      -888.0       302.2        -8.0      -888.0     273     173        18.8  1952  ScooteneyNorthDike              OffstreamColumbiaRiver        
       336    46.637  -110.938      -888.0       112.2        -8.0      -888.0     244     174        19.2  1977  NewlanCreekDam                  NewlanCreek                   
       337    46.621  -110.746      -888.0       187.5        -8.0      -888.0     244     174        17.5  1936  NorthForkofSmithRiverDam        NorthForkofSmithRiver         
       339    46.454  -110.271      -888.0        40.8        -8.0      -888.0     255     174        44.4  1939  MartinsdaleNorthDam             Trib.MusselshellRiver         
       340    46.329  -109.421      -888.0        25.3        -8.0      -888.0     255     174       123.3  1941  DeadmansBasinDam                Trib.MusselshellRiver         
       341    46.212  -113.279      -888.0       139.1        -8.0      -888.0     255     174        61.7  1905  FlintCreekDam                   FlintCreek                    
       342    46.162  -113.237      -888.0         5.2        -8.0      -888.0     255     174        22.1  1918  SilverLakeEastDam               Trib.StormLakeCreek           
       344    46.129  -113.379      -888.0        78.6        -8.0      -888.0     270     176        24.5  1938  EastForkRockCreekDam            EastForkofRockCreek           
       345    46.062  -114.237      -888.0       139.9        -8.0      -888.0     270     176        47.5  1910  Como                            RockCreek                     
       348    45.704  -111.704      -888.0       167.5        -8.0      -888.0     263     178        32.8  1938  WillowCreekDam                  WillowCreek                   
       349    45.696  -119.821      -888.0       166.6        -8.0      -888.0     263     178       185.0  1976  CartyReservoir                  ColumbiaRiver                 
       351    45.446  -109.204      -888.0       519.4        -8.0      -888.0     246     179        29.8  1937  Cooney                          RedLodgeCreek                 
       354    45.337  -117.221      -888.0       129.4        -8.0      -888.0     243     179        60.8  1931  WallowaLake                     WallowaRiver                  
       357    45.221  -109.762      -888.0       121.6        -8.0      -888.0     272     180        25.9  1927  MysticLake                      WestRosebudCreek              
       358    45.162  -107.596      -888.0        26.4        -8.0      -888.0     272     180        28.4  1941  WillowCreek                     WillowCreek                   
       360    45.054  -118.021      -888.0        87.7        -8.0      -888.0     293     180        14.8  1974  WolfCreekReservoir              WolfCreek                     
       369    44.571  -107.212      -888.0        98.7        -8.0      -888.0     272     182        15.4  1958  BigGooseParkMainDam             EastForkofBigGooseCreek       
       371    44.512  -106.779      -888.0       103.7        -8.0      -888.0     256     182       289.9  1975  LakeDesmet                      PineyCreek                    
       378    44.129  -110.812      -888.0         8.5        -8.0      -888.0     258     183        18.7  1938  GrassyLake                      GrassyCreek                   
       379    44.096  -108.979      -888.0        65.9        -8.0      -888.0     258     183        88.6  1972  LowerSunshine                   OffstreamSunshineCreek        
       381    44.062  -109.046      -888.0        28.8        -8.0      -888.0     275     184        80.3  1942  UpperSunshine                   Greybull                      
       389    43.546  -116.662      -888.0        61.3        -8.0      -888.0     247     185       208.5  1907  DeerFlatUpper                   OffstreamBoiseRiver           
       395    43.354  -115.387      -888.0       103.7        -8.0      -888.0     259     187        29.7  1912  LittleCamasDam                  LittleCamasCreek              
       399    43.204  -108.737      -888.0        13.6        -8.0      -888.0     283     188        45.5  1925  PilotButte                      WyomingCanal                  
       400    43.087  -109.971      -888.0        86.1        -8.0      -888.0     283     188        31.7  1925  NewForkLake                     WestForkofNewForkRiver        
       403    42.996  -109.904      -888.0        81.1        -8.0      -888.0     274     189        39.6  1955  WillowLake                      LakeCreek                     
       404    42.954  -108.821      -888.0        49.2        -8.0      -888.0     274     189        10.7  1925  RayLake                         OffstreamTrib.MillCreek       
       406    42.904  -117.237      -888.0       139.0        -8.0      -888.0     256     189        67.8  1923  AntelopeDam                     AntelopeCreek                 
       407    42.904  -109.837      -888.0       261.0        -8.0      -888.0     256     189        38.1  1993  FremontLake                     PineCreek                     
       409    42.837  -109.704      -888.0       325.0        -8.0      -888.0     261     189        46.6  1964  BoulderLake                     BoulderCreek                  
       410    42.787  -109.021      -888.0        23.3        -8.0      -888.0     261     189        15.9  1959  ShoshoneLake                    ShoshoneCreek                 
       420    42.237  -109.371      -888.0        10.0        -8.0      -888.0     283     191        16.2  1906  EdenDike1                       OffstreamLittleSandyCreek     
       422    42.137  -119.779      -888.0        19.7        -8.0      -888.0     293     192        24.7  1963  GreaserLake                     TwentyMileCreek               
       424    42.004  -105.046      -888.0         5.2        -8.0      -888.0     280     192        14.3  1960  Wheatland1                      OffstreamSybilleCreek         
       426    41.854  -105.696      -888.0       101.5        -8.0      -888.0     278     193       123.7  1964  Wheatland3                      OffstreamLaramieRiver         
       429    41.746  -109.871      -888.0         4.9        -8.0      -888.0     298     193        23.8  1976  TexasgulfTailings               Trib.BluebellDraw             
       432    41.521  -111.746      -888.0       178.0        -8.0      -888.0     273     194        17.9  1962  Porcupine                       EastForkofLittleBearRiver     
       434    41.479  -105.887      -888.0        80.8        -8.0      -888.0     276     195        50.7  1908  JamesLake                       SevenMileCreek                
       435    41.404  -115.904      -888.0         4.2        -8.0      -888.0     276     195        29.6  1981  JerrittCanyonTailingsDam        OffstreamNorthForkofHumboldtRi
       437    41.379  -112.096      -888.0       183.1        -8.0      -888.0     252     195       244.6  1963  ArthurV.Watkins                 OffstreamWillardCreek         
       439    41.246  -105.904      -888.0       143.1        -8.0      -888.0     274     195       160.6  1912  LakeHattieDam                   OffstreamLaramieRiver         
       440    41.237  -117.221      -888.0         8.9        -8.0      -888.0     274     195        12.3   -99  GetchellMineTailingsDam         Trib.RabbitCreek              
       441    41.196  -106.262      -888.0        56.2        -8.0      -888.0     274     195        52.1  1986  RobRoy                          DouglasCreek                  
       443    41.154  -110.829      -888.0       176.1        -8.0      -888.0     275     196        24.4  1964  SulphurCreek                    SulphurCreek                  
       444    41.037  -106.862      -888.0        32.5        -8.0      -888.0     275     196        30.8  1986  HogParkMainDam                  HogParkCreek                  
       446    41.012  -116.362      -888.0        12.7        -8.0      -888.0     278     197        56.6   -99  NorthBlockTailingsImpoundment   OffstreamRodeoCreek           
       447    40.987  -116.337      -888.0         5.0        -8.0      -888.0     278     197        21.0   -99  TailsDam                        OffstreamRodeoCreek           
       448    40.987  -110.387      -888.0       127.3        -8.0      -888.0     278     197        17.3  1979  BorStatelineSummit              EastForkofSmithsFork          
       452    40.912  -109.871      -888.0         5.7        -8.0      -888.0     283     197        18.0  1980  LongPark                        SheepCreek                    
       453    40.921  -112.721      -888.0        37.0        -8.0      -888.0     283     197        12.3  1974  AmaxSolarPonds                  OffstreamSprings              
       454    40.846  -105.021      -888.0        46.1        -8.0      -888.0     283     197        25.0  1980  Rawhide                         Trib.CoalCreek                
       455    40.787  -106.946      -888.0       103.3        -8.0      -888.0     283     197        45.5  1966  WillowCreek                     WillowCreek                   
