ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,loc_km_diff,ix,iy,Station Name,River Name
180,42.88,141.57,130.027,42.879,141.57,147,0.111,15531,5127,日の出橋,漁川
181,42.988,141.565,24.749,42.988,141.564,24,0.081,15527,5049,輪厚,輪厚川
182,42.866,141.16,40.492,42.866,141.16,42,0,15236,5137,漁入沢,漁入沢川
183,42.931,141.119,16.673,42.931,141.12,19,0.081,15206,5090,白水橋,白水川
184,42.94,141.126,10.906,42.939,141.126,11,0.111,15211,5084,薄別,小川
185,43.033,141.128,68.047,43.033,141.129,68,0.08,15213,5017,小樽内,小樽内川
186,42.951,141.285,2.721,42.95,141.286,3,0.137,15326,5076,野々沢,野々沢川
187,42.96,141.287,3.666,42.96,141.287,-9999,0,15327,5069,下野々沢,野々沢川
188,42.944,141.309,4.379,42.943,141.309,4,0.11,15343,5081,オカバルシ,オカバルシ川
189,42.962,141.313,7.369,42.961,141.313,7,0.112,15346,5068,下オカバルシ,オカバルシ川
190,42.935,141.33,1.669,42.935,141.33,2,0,15358,5087,穴の川,穴の川
191,42.958,141.323,4.941,42.958,141.323,-9999,0,15353,5071,下穴の川,穴の川
192,42.985,141.306,1.747,42.986,141.306,2,0.111,15341,5051,南の沢,南の沢川
193,42.981,141.333,6.241,42.982,141.333,6,0.111,15360,5054,下南の沢,南の沢川
194,43.058,141.431,23.713,43.058,141.432,28,0.081,15431,4999,月寒,月寒川
195,43.074,141.426,17.813,43.075,141.426,-9999,0.111,15427,4987,望月寒,望月寒川
196,43.119,141.427,19.79,43.118,141.427,-9999,0.111,15428,4955,モエレ,篠路新川
197,43.115,141.477,184.06,43.112,141.478,183,0.343,15464,4958,厚別,厚別川
198,43.153,141.37,60.602,43.153,141.371,71,0.081,15387,4930,伏籠下流,伏籠川
199,43.158,141.362,60.858,43.158,141.361,72,0.082,15381,4927,福移橋,伏籠川
200,42.865,141.412,41.517,42.864,141.411,42,0.139,15417,5138,白扇,ラルマナイ川
201,43.013,141.155,14.592,43.013,141.154,14,0.081,15232,5031,滝の沢,滝の沢川
202,42.977,141.138,91.235,42.977,141.138,91.5,0,15220,5057,白井,白井川
203,43.124,141.344,8.21,43.125,141.344,16,0.111,15368,4951,創成上流,創成川
204,43.156,141.352,17.269,43.156,141.352,21,0,15374,4928,創成,創成川
205,43.148,141.317,19.08,43.148,141.318,18,0.081,15349,4934,発寒上流,発寒川
206,43.159,141.348,27.245,43.159,141.348,24,0,15371,4926,発寒,発寒川
207,42.941,141.569,52.195,42.941,141.569,50,0,15530,5083,下島松,島松川
208,43.009,141.309,3.923,43.009,141.309,4,0,15343,5034,下北の沢,北の沢川
209,42.935,141.349,2.425,42.934,141.341,3,0.663,15372,5087,真駒内常磐,真駒内川
210,43.001,141.312,5.72,43.001,141.311,7,0.081,15345,5040,中の沢,中の沢川
211,42.958,141.263,23.204,42.957,141.263,19,0.111,15310,5071,簾舞,簾舞川
212,42.938,141.224,7.029,42.938,141.224,6,0,15282,5085,盤の沢川,盤の沢川
213,43.633,143.01,111.383,43.633,143.01,113,0,16568,4585,石狩平,石狩川
214,43.727,142.955,431.687,43.727,142.955,444,0,16528,4517,層雲峡,石狩川
215,43.842,142.765,830.566,43.842,142.764,842,0.08,16391,4434,上川,石狩川
216,43.89,142.655,1069.86,43.889,142.655,1083,0.111,16312,4400,中愛別,石狩川
