ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,area_diff,area_error,loc_km_diff,alloc_score,ix,ix,lat_mod,lon_mod,area_mod,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1159650,-30.679,26.713,36988.648,-30.678,26.716,37070,-81.289,-0.002,0.836,0.169,12403,7241,-30.678,26.716,37070,,Aliwal Noord (27819103),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159303,1298
1159651,-30.338,27.354,24667.82,-30.336,27.358,24745,-75.494,-0.003,0.665,0.135,12442,7221,-30.336,27.358,24745,,Oranjedraai (27819109),ORANGE RIVER,ZA,2020/1/31,2019/2/12,1159650,1394
1159660,-30.829,26.921,8657.334,-30.831,26.921,8689,-9.693,-0.001,0.767,0.154,12416,7250,-30.831,26.921,8689,,Roodewal (27819111),KRAAIRIVIER,ZA,2020/1/31,2019/2/12,1159650,1320
1159670,-28.688,28.238,517.509,-28.695,28.235,522,-5.085,-0.01,2.319,0.471,12495,7121,-28.695,28.235,522,,The Poplars (27818012),LITTLE CALEDON RIVER,ZA,2020/1/31,2019/2/12,1159303,-999
1159800,-26.821,28.063,38646.223,-26.82,28.063,38564,82.277,0.002,0.744,0.151,12484,7010,-26.82,28.063,38564,,Elandsfontein Engelbrechtsdrift,VAAL RIVER,ZA,2020/1/31,2018/5/22,1159500,-999
1159810,-27.296,28.496,15457.521,-27.298,28.496,15522,120.613,0.008,0.774,0.163,12510,7038,-27.298,28.496,15522,,Slabberts (27817822),WILGERIVIER,ZA,2020/1/31,2018/5/22,1159800,1498
1159820,-27.846,28.946,872.931,-27.848,28.945,864,10.913,0.013,0.728,0.158,12537,7071,-27.848,28.945,864,,C8H003 (27817803),CORNELISRIVIER,ZA,2020/1/31,2019/2/12,1159810,1091
1159825,-28.088,28.838,389.124,-28.085,28.837,393,-3.464,-0.009,0.918,0.19,12531,7086,-28.085,28.837,393,,Voorspoed (27817812),VAALBANKSPRUIT,ZA,2020/1/31,2019/2/12,1159810,1597
1159830,-28.379,28.863,697.084,-28.376,28.862,690,12.654,0.018,0.408,0.1,12532,7103,-28.376,28.862,690,,C8H005 (27817805),ELANDSRIVIER,ZA,2020/1/31,2019/2/12,1159810,-999
1159850,-26.246,27.588,32.232,-26.248,27.589,32,0.232,0.007,0.729,0.265,12456,6975,-26.248,27.589,32,,Rietfontein (27817428),RIETFONTEINSPRUIT,ZA,2020/1/31,2018/5/22,1159500,1602
1159860,-26.229,27.671,26.041,-26.233,27.669,26,-0.428,-0.016,1.07,0.432,12461,6974,-26.233,27.669,26,,Middelvlei (27817426),MIDDELVLEISPRUIT,ZA,2020/1/31,2018/5/22,1159500,1614
