        ID       lat       lon   area_CaMa  area_Input       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      6102    33.437   130.396      -999.0         5.0      -999.0      -999.0    -999    -999         4.5  1976                          Suburi                        Nakagawa
      6103    33.437   131.446      -999.0         0.7      -999.0      -999.0    -999    -999         4.9  1969                         Hisashi                    Yamakuragawa
      6105    33.437   130.429      -999.0        26.4      -999.0      -999.0    -999    -999         6.0  1985                      Minamihata                        Nakagawa
      6112    33.196   130.088      -999.0         3.3      -999.0      -999.0    -999    -999         0.6  1996                         Nagaike                        Zodogawa
      6117     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         1.1  1661                   Nodaketameike                          NoName
      6120    32.887   129.713      -999.0        17.4      -999.0      -999.0    -999    -999         6.8  1969                         Konoura                     Konouragawa
      6123    32.821   130.054      -999.0         4.7      -999.0      -999.0    -999    -999         2.2  1974                         Ogakura                     Ogakuragawa
      6124    32.796   129.871      -999.0         7.1      -999.0      -999.0    -999    -999         1.9  2001                         Urakami                        Oidegawa
      6125    32.796   131.613      -999.0       179.9      -999.0      -999.0    -999    -999        41.0  1962                        Kitagawa                        Kitagawa
      6126    32.746   130.246      -999.0         1.1      -999.0      -999.0    -999    -999         1.9  1968                          Bessho                     Chijiwagawa
      6130    32.462   130.371      -999.0        11.9      -999.0      -999.0    -999    -999         1.4  1975                         Kyoragi                   Iwaiguchigawa
      6134    32.354   131.346      -999.0        80.3      -999.0      -999.0    -999    -999        33.9  1955                          Dokawa                          Dokawa
      6147    30.771   131.029      -999.0         1.8      -999.0      -999.0    -999    -999         2.3  1984                          Saikyo                    Matanobugawa
      6174    28.121   120.863      -999.0        40.5      -999.0      -999.0    -999    -999        25.2  1960                       Zhongqian                        Baishixi
      6175    28.112   120.854      -999.0        49.7      -999.0      -999.0    -999    -999        13.5  1958                          Baishi                        Baishixi
      6180    26.487   127.954      -999.0         6.8      -999.0      -999.0    -999    -999         8.2  1993                           Kanna                 Kannafukujigawa
      6181    26.471   127.929      -999.0        13.9      -999.0      -999.0    -999    -999         7.6  2001                         Okukubi                     Okukubigawa
      6182    26.387   127.804      -999.0         6.2      -999.0      -999.0    -999    -999         7.1  1995                       Kurashiki                    Yonabarugawa
      6185    24.429   124.221      -999.0         4.7      -999.0      -999.0    -999    -999        13.0  1992                        Sokobaru                    Sokobarugawa
      6186    24.421   124.204      -999.0         5.1      -999.0      -999.0    -999    -999         2.3  1982                         Maezato                      Miyaragawa
      6187    24.404   124.179      -999.0         3.3      -999.0      -999.0    -999    -999         4.0  1996                          Nagura                      Naguragawa
      6203    44.404   141.854      -999.0        21.4      -999.0      -999.0    -999    -999         2.4  1971                          Ariake                Mochikubetsugawa
      6204    44.346   141.929      -999.0        15.9      -999.0      -999.0    -999    -999         3.3  1966                          Haboro                  Sankebetsugawa
      6267    42.421   141.079      -999.0        72.3      -999.0      -999.0    -999    -999        10.0  1967                       Horobetsu                   Horobetsugawa
      6270    42.187   142.963      -999.0        55.2      -999.0      -999.0    -999    -999         6.2  1974                          Samani                      Samanigawa
      6272    42.104   140.129      -999.0        22.5      -999.0      -999.0    -999    -999         0.8  1930                       Ainumanai                   Ainumanaigawa
      6273    42.062   140.504      -999.0        51.3      -999.0      -999.0    -999    -999         3.3  1985                      Komagatake                   Shimazakigawa
      6274    41.871   140.596      -999.0        56.4      -999.0      -999.0    -999    -999         3.6  1990                         Kamiiso                   Hekirichigawa
      6276    40.904   140.988      -999.0         1.0      -999.0      -999.0    -999    -999         0.9  1942                 Tanosawatameike                     Shimizugawa
      6280    40.762   140.338      -999.0        21.8      -999.0      -999.0    -999    -999         1.8  1967                    Shinkodoroku                      Yamadagawa
      6289     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         1.5  1945                        Shakaike                      Midaregawa
      6298    39.779   140.154      -999.0         3.3      -999.0      -999.0    -999    -999         1.7  1937                Otakisawatameike                       Michigawa
      6324    38.596   139.671      -999.0        31.8      -999.0      -999.0    -999    -999         5.7  1986                      Atsumigawa                      Atsumigawa
      6330    38.362   140.738      -999.0        20.9      -999.0      -999.0    -999    -999         9.2  1984                        Nanakita                    Nanakitagawa
      6343    38.029   139.563      -999.0        71.7      -999.0      -999.0    -999    -999        22.8  1980                           Oishi                       Oishigawa
      6345    37.962   139.529      -999.0        72.7      -999.0      -999.0    -999    -999        17.1  1979                      Tainaigawa                      Tainaigawa
      6353    37.596   140.904      -999.0        44.1      -999.0      -999.0    -999    -999        13.7  1983                        Yokokawa                         Otagawa
      6360    37.379   140.946      -999.0        12.7      -999.0      -999.0    -999    -999         2.8  1973                       Sakashita                     Okawaragawa
      6373    37.146   138.179      -999.0         6.8      -999.0      -999.0    -999    -999         4.7  1984                        Shozenji                    Shozenjigawa
      6378    36.979   136.963      -999.0         1.8      -999.0      -999.0    -999    -999         1.3  1973                            Tane                   Kumabuchigawa
      6390     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         7.1  1988                        Kuriyama                    Nebesawagawa
      6403    36.679   137.421      -999.0        45.8      -999.0      -999.0    -999    -999         4.8  1964                    Kamiichigawa                    Kamiichigawa
      6404    36.671   137.438      -999.0        40.3      -999.0      -999.0    -999    -999         7.8  1985               Kamiichigawadaini                    Kamiichigawa
      6405     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         3.5  1984                          Furudo                        Kajikawa
      6412     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         1.5  1958                     Sakuragaike                          Oigawa
      6419    36.471   136.671      -999.0        34.9      -999.0      -999.0    -999    -999         9.5  1974                        Uchikawa                        Uchikawa
      6422    36.429   136.746      -999.0        56.7      -999.0      -999.0    -999    -999        14.3  1965                         Saigawa                         Saigawa
      6423     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         2.0  1985                        Kozogawa                        Kozogawa
      6479     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         1.5  1936                 Maruyamatameike                       Obinagawa
      6484     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         1.0  1959                         Fukuoka                    Tsukechigawa
      6504     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         3.9  1972                            Kori                        Korigawa
      6511    35.221   136.479      -999.0         4.2      -999.0      -999.0    -999    -999        16.4  1976                        Nakazato                       Ohiragawa
      6518    35.121   139.896      -999.0         6.8      -999.0      -999.0    -999    -999         1.3  1990                          Sakuma                     Okuzuregawa
      6519    35.112   137.079      -999.0         3.8      -999.0      -999.0    -999    -999         9.0  1961                   Togochoseichi                         Maekawa
      6522     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         2.2  1958                      Miyoshiike                          NoName
      6532    34.971   136.888      -999.0         2.9      -999.0      -999.0    -999    -999         5.3  1965                           Souri                     Shinanogawa
      6534    34.937   139.071      -999.0        12.1      -999.0      -999.0    -999    -999         5.1  1989                           Okuno                        Itookawa
      6537    34.912   136.854      -999.0         2.7      -999.0      -999.0    -999    -999         1.0  1990                         Maeyama                     Maeyamakawa
      6540     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         7.2  1970                       Kisenyama                    Samutanigawa
