        ID       lat       lon        area    Type     ix1   iy1     ix2   iy2  elv_outlet   elv_gauge    elv_upst  dst_outlet    dst_upst
       167    43.785   143.838        90.0       1    1252   134    1249   134       75.50       91.18       96.24        2.58        1.14
       168    43.615   143.342        52.1       1    1221   144    1220   143      454.00      457.12      478.97        0.67        2.31
       169    43.808   143.845        11.6       1    1251   132    1251   131       91.52       93.68       95.33        0.57        0.34
       170    43.710   144.009       569.9       1    1261   138    1262   138       62.97       67.48       69.45        0.93        0.46
       171    43.648   143.991       156.8       1    1260   142    1260   143      116.15      116.15      122.69        0.00        0.57
       172    43.835   144.098       809.1       1    1266   131    1265   132        7.54        7.54       12.13        0.00        3.83
       173    43.898   144.131      1086.1       1    1271   124    1267   129        0.00        1.02        1.94        6.24       10.53
       174    43.958   144.201       123.6       1    1273   123    1273   124        0.10        0.95        0.97        0.46        0.57
       175    44.005   144.231      1364.9       1    1274   120    1273   120        0.00        0.00        0.00        2.04        1.34
       176    43.913   144.178        17.0       1    1271   126    1271   127        0.00        1.58        2.00        1.03        0.46
       177    43.820   144.141       178.6       1    1270   132    1271   132       13.33       13.33       15.47        0.00        1.49
       178    43.828   144.123       203.8       1    1268   131    1269   131        7.99        8.61       10.72        0.80        1.14
       179    43.698   144.038       148.3       1    1263   139    1264   139       91.03       95.17      109.34        0.34        3.17
       180    43.817   144.108        11.9       1    1267   131    1267   132        8.38       21.33       26.34        1.03        0.57
       181    43.488   144.451       433.3       1    1288   151    1287   151       91.25      100.88      100.88        2.28        0.34
       182    43.299   144.601       876.8       1    1297   162    1297   161       19.10       19.10       20.93        0.00        1.85
       183    43.085   144.427      1645.8       1    1287   175    1287   174        0.51        0.51        1.38        0.00        6.22
       184    42.994   144.469        80.2       1    1289   181    1290   181        2.03        2.03        3.07        0.00        0.34
       185    42.987   144.395       165.8       1    1284   181    1285   181        0.10        0.10        0.10        0.57        1.15
       186    43.056   144.397      2190.8       1    1284   178    1285   177        0.10        0.10        0.10        2.65        0.68
       187    43.008   144.366      2320.2       1    1282   181    1283   180        0.00        0.00        0.00        1.04        0.57
       188    43.013   144.362       126.1       2    1283   180    1281   179        0.00        1.20        1.68        0.91        1.36
       189    43.237   144.327       156.2       1    1280   166    1280   165       26.10       26.10       36.55        0.00        3.24
       190    43.217   144.344       169.6       1    1281   167    1280   167       16.36       16.36       19.58        0.00        0.68
       191    43.220   144.431        97.8       1    1286   167    1286   166       16.05       16.53       20.12        1.95        1.15
       192    43.290   144.537       139.1       1    1293   163    1292   162       15.18       15.78       18.29        1.03        2.13
       193    43.481   144.451       138.5       1    1287   152    1286   152       97.16      100.21      110.86        0.67        0.68
       194    43.158   144.324       123.4       1    1280   171    1278   170        4.35        8.92       11.15        2.86        1.97
       195    42.994   144.469        80.2       1    1289   181    1290   181        2.03        2.03        3.07        0.00        0.34
       196    43.424   142.866         6.3       1    1192   155    1193   154      480.61      528.50      547.69        1.48        0.57
       197    43.323   142.942       538.2       1    1198   161    1197   160      344.22      344.22      351.42        0.00        1.91
       198    43.067   142.928       807.2       1    1196   176    1196   175      141.17      141.17      150.13        0.00        1.85
       199    43.013   142.935       856.1       1    1197   180    1197   179      105.05      112.95      117.57        1.79        1.15
       200    42.931   143.047         1.0       3    1203   185    -999  -999       59.15       63.86     -999.00        0.46     -999.00
       201    42.937   143.203      2674.5       1    1213   184    1212   184       28.45       30.21       30.53        1.36        0.57
       202    42.927   143.292         3.4       2    1219   185    1216   185       17.41       21.71       23.40        3.19        2.99
       203    42.923   143.385      5084.7       1    1224   185    1223   185        6.44        7.27        7.75        0.91        0.34
       204    42.808   143.512      8163.8       1    1231   192    1230   191        0.66        0.97        1.21        1.61        1.15
       205    42.692   143.648      8361.3       1    1238   199    1237   198        0.00        0.00        0.00        0.00        4.54
       206    42.774   143.597       101.3       1    1236   194    1237   193        1.44        1.60        2.70        0.46        2.14
       207    42.734   143.673       604.6       1    1241   196    1240   196        0.00        0.00        0.00        0.93        0.68
       208    42.795   143.649       412.7       1    1239   192    1240   192        7.41        7.41       11.17        0.00        3.33
       209    42.928   143.653       250.6       1    1240   185    1240   184       45.65       49.31       55.47        1.27        4.95
       210    43.017   143.631       169.6       1    1238   180    1238   179      106.10      106.10      108.95        0.00        1.50
       211    42.795   143.653       412.7       1    1239   192    1240   192        7.41        7.41       11.17        0.00        3.33
       212    42.799   143.472       132.4       1    1229   193    1228   193        7.24        7.24        8.31        0.00        0.34
       213    42.755   143.426        39.7       1    1225   196    1224   197       25.24       25.24       38.50        0.00       11.23
       214    43.094   143.512      2302.3       1    1231   175    1232   174       29.46       32.27       33.56        1.72        1.15
       215    42.931   143.442      2697.2       1    1227   185    1227   184        5.76        8.18        8.18        2.88        0.46
       216    43.244   143.556       929.0       1    1233   166    1233   165       83.64       83.64       86.54        0.00        1.50
       217    43.465   143.738       205.4       1    1246   153    1245   152      194.09      200.23      202.09        1.60        0.46
       218    43.391   143.684       619.2       1    1242   157    1243   157      154.43      154.43      156.75        0.00        0.68
       219    42.910   143.356       443.7       1    1222   186    1221   186       11.79       12.70       13.50        1.04        0.34
       220    42.785   143.322       261.9       1    1220   193    1219   194       56.56       60.96       63.08        1.49        0.34
       221    42.913   143.283       128.4       1    1217   186    1216   186       21.82       21.82       23.17        0.00        0.68
       222    42.878   143.235       110.1       1    1215   188    1214   189       35.15       43.97       47.08        1.84        0.57
       223    42.947   143.270         1.6       3    1216   183    -999  -999       25.23       29.41     -999.00        0.91     -999.00
       224    43.081   143.290        55.2       1    1218   175    1218   174      128.68      129.97      141.51        0.46        2.13
       225    42.610   142.870        83.2       1    1193   204    1193   203      474.97      496.93      497.37        1.97        0.34
       226    42.580   142.931         3.8       3    1196   206    -999  -999      401.33      449.30     -999.00        1.15     -999.00
       227    42.605   142.987       151.0       1    1200   204    1199   204      332.73      342.70      345.04        1.03        0.34
