        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      6122    32.829   129.804         3.2         2.1         0.5         1.1     409     791         2.3  1991  Narumi                          Futamatagawa                  
      6123    32.821   130.054         4.8         4.7         0.0         0.0     424     792         2.2  1974  Ogakura                         Ogakuragawa                   
      6124    32.796   129.871         6.9         7.1        -0.0        -0.2     414     792         1.9  2001  Urakami                         Oidegawa                      
      6125    32.796   131.613       181.2       179.9         0.0         1.3     517     793        41.0  1962  Kitagawa                        Kitagawa                      
      6127    32.629   130.913       354.5       357.1        -0.0        -2.6     476     802        46.0  1970  Midorikawa                      Midorikawa                    
      6128    32.504   131.296       415.1       411.3         0.0         3.7     499     810        34.3  1938  Tsukabaru                       Mimigawa                      
      6129    32.462   131.146       211.1       211.0         0.0         0.0     489     813        91.5  1955  Kamishiiba                      Mimigawa                      
      6130    32.462   130.371        16.3        11.9         0.4         4.4     443     813         1.4  1975  Kyoragi                         Iwaiguchigawa                 
      6131    32.462   131.404       660.4       658.9         0.0         1.6     505     813         2.5  1983  Saigo                           Mimigawa                      
      6132    32.429   131.479       732.8       730.4         0.0         2.5     509     815         7.5  1956  Ouchibaru                       Mimigawa                      
      6133    32.421   130.738         2.8         1.8         0.6         1.0     464     816         5.4  1975  Uchitani                        Itsukiogawa                   
      6134    32.354   131.346        79.8        80.3        -0.0        -0.5     500     819        33.9  1955  Dokawa                          Dokawa                        
      6135    32.321   131.013       152.8       151.6         0.0         1.3     481     821        40.2  1959  Ichifusa                        Kumagawa                      
      6136    32.204   131.304       415.8       415.0         0.0         0.8     498     828       261.3  1963  Hitotsuse                       Hitotsusegawa                 
      6137    32.129   131.271        43.0        40.8         0.1         2.2     497     832        10.0  1963  Tachibana                       Jarogawa                      
      6138    32.062   130.413        11.0        16.0        -0.3        -4.9     446     838         8.5  1973  Kogawa                          Kogawa                        
      6139    32.062   131.121        91.8        86.1         0.1         5.7     488     837        38.0  1958  Ayaminami                       Honjogawa                     
      6140    31.987   130.496       797.1       795.6         0.0         1.5     450     841       123.0  1965  Tsuruda                         Sendaigawa                    
      6141    31.946   131.138       368.3       359.9         0.0         8.4     489     844        57.0  1967  Iwase                           Iwasegawa                     
      6142    31.937   131.204      1371.6      1372.2        -0.0        -0.5     493     844         0.2  1932  Oyodogawadaini                  Oyodogawa                     
      6143    31.921   131.138       943.7       940.8         0.0         2.9     488     845         8.5  1961  Oyodogawadaiichi                Oyodogawa                     
      6144    31.812   130.663        10.5        11.0        -0.0        -0.5     460     851         2.2  1986  Takeyama                        Usonokigawa                   
      6145    31.637   131.271        64.6        58.4         0.1         6.2     497     862         6.0  1984  Nichinan                        Sakatanigawa                  
