ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
6357020,52.696,14.171,706.334,52.693,14.159,737,,Bliesdorf,FRIEDLANDER STROM,DE,2020/1/31,2018/5/24,6357010,1.879999995
6357500,52.154,14.688,52006.434,52.153,14.688,52033,,Eisenhuettenstadt,ODER RIVER,DE,2020/1/31,2018/5/24,6457100,25.14999962
6357501,51.971,14.704,4061.886,51.969,14.707,4125,,Guben 2,NEISSE RIVER,DE,2020/1/31,2018/5/24,6357500,-999
6357502,51.162,14.996,1627.373,51.161,14.993,1621,,Goerlitz,NEISSE RIVER,DE,2020/1/31,2018/5/24,6357501,175.6300049
6357503,50.871,14.821,376.921,50.872,14.821,376,,Hartau,NEISSE RIVER,DE,2020/1/31,2018/5/24,6357502,233.1399994
6357510,51.062,14.946,164.737,51.064,14.944,162,,Tauchritz,PLIESSNITZ,DE,2020/1/31,2018/5/24,6357502,197.1999969
6357520,0,0,0,50.892,14.803,-999,,Zittau 5,MANDAU,DE,2020/1/31,2018/5/24,6357502,-999
6357521,0,0,0,50.892,14.803,-999,,Zittau 6,MANDAU,DE,2020/1/31,2018/5/24,6357502,-999
6372310,57.529,22.038,527.172,57.53,22.03,297,,Pasiene,ZILUPE,LV,2020/1/31,2019/5/15,6373440,112
6372364,56.504,24.396,568.418,56.5,24.4,619,,Felicianova,LZHA,LV,2020/1/31,2019/5/15,6972320,112
6373010,56.987,21.963,8368.305,56.986,21.961,8320,,Kuldiga,VENTA,LV,2020/1/31,2019/10/31,-999,5
6373020,56.571,25.229,192.184,56.58,25.24,352,,Pakulu Hes,CIECERE,LV,2020/1/31,2019/5/15,6373010,55
6373040,56.746,24.688,44.036,56.74,24.71,207,,Pilskalni,IMULA,LV,2020/1/31,2019/5/15,6373050,72
6373050,57.196,27.054,989.743,57.2,27.05,1830,,Renda,ABAVA,LV,2020/1/31,2019/5/15,-999,19
6373100,57.537,25.421,6724.019,57.536,25.423,6280,,Valmiera,GAUJA,LV,2020/1/31,2019/10/31,6373104,-999
6373101,56.912,26.729,341.474,56.9,26.71,294,,Vilkzemnieki,PALSA,LV,2020/1/31,2019/5/15,6373103,61
6373102,56.854,24.213,175.987,56.84,24.26,697,,Velena,GAUJA,LV,2020/1/31,2019/5/15,6373103,107
6373103,57.171,25.929,482.627,57.15,25.91,2230,,Tilderi,GAUJA,LV,2020/1/31,2019/5/15,6373100,62
6373104,57.587,26.646,591.959,57.54,26.7,8510,,Sigulda,GAUJA,LV,2020/1/31,2019/5/15,-999,11
6373111,57.129,25.904,30.811,57.13,25.91,40,,Oli,TULIJA,LV,2020/1/31,2019/5/15,6373103,170
6373112,56.854,24.696,455.318,56.8,24.71,298,,Melturi,AMATA,LV,2020/1/31,2019/5/15,6373100,94
6373113,56.862,24.604,478.311,56.86,24.61,607,,Lejasciems,TIRZA,LV,2020/1/31,2019/5/15,6373102,84
6373114,56.996,24.913,26.574,57,24.96,33.4,,Bubs,TULIJA,LV,2020/1/31,2019/5/15,6373111,-999
6373115,56.921,22.579,210.733,56.92,22.57,398,,Ape,VAIDAVA,LV,2020/1/31,2019/5/15,6373102,74
6373151,56.321,28.188,284.864,56.29,28.17,1700,,Dukupji,BARTA,LV,2020/1/31,2019/5/15,-999,2
6373152,56.371,21.429,460.585,56.38,21.41,450,,Darznieki,VARTAJA,LV,2020/1/31,2019/5/15,6373151,10
