ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,loc_km_diff,ix,iy,Station Name,River Name,Memo
2152,36.278,139.502,42.16,36.279,139.502,0.059,14042,9880,足森橋,矢場川,
2153,36.294,139.452,12.62,36.294,139.452,0.028,14006,9869,後河原橋,矢場川,
2154,36.408,139.351,93.702,36.407,139.35,0.094,13933,9787,広見橋,桐生川,
2155,36.449,139.369,77.211,36.45,139.369,0.081,13946,9757,上久方,桐生川,
2156,36.267,139.353,43.796,36.268,139.354,0.086,13935,9888,細谷,蛇川,
2157,36.265,139.226,14.949,36.264,139.225,0.089,13843,9890,松原橋,韮川,
2158,36.29,139.19,3.274,36.29,139.189,0.071,13817,9872,堀口,韮川,
2159,36.335,139.201,78.568,36.336,139.201,0.07,13825,9839,八幡,粕川,
2160,36.294,139.226,91.581,36.294,139.226,0.039,13843,9869,境保泉,粕川,
2161,36.417,139.16,28.691,36.417,139.16,0.053,13796,9780,大胡,荒砥川,
2162,36.349,139.163,48.205,36.349,139.163,0.038,13798,9829,下増田,荒砥川,
2163,36.394,139.112,79.601,36.391,139.108,0.457,13761,9797,上泉,桃ノ木川,
2164,36.363,139.138,97.447,36.363,139.138,0.028,13780,9819,笂井,桃ノ木川,
2165,36.413,139.077,18.917,36.414,139.077,0.09,13736,9783,細井,赤城白川,
2166,36.194,139.063,382.182,36.194,139.064,0.076,13726,9941,浄法寺,神流川,
2167,36.273,139.128,411.818,36.272,139.129,0.112,13773,9884,勅使河原,神流川,
2168,36.152,139.06,370.244,36.153,139.06,0.109,13724,9971,鬼石,神流川,
2169,36.113,138.92,1.266,36.112,138.923,0.29,13623,9999,万場（万場第二）,神流川,
2170,36.174,139.058,375.926,36.174,139.058,0.046,13722,9955,若泉,神流川,
2171,36.153,139.026,21.914,36.153,139.026,0.059,13699,9970,三波川,三波川,
2172,36.278,139.094,1.218,36.279,139.091,0.254,13748,9880,温井川,温井川,
2173,36.324,139.065,66.674,36.324,139.065,0.05,13727,9847,元島名,井野川,
2174,36.349,139.026,38.905,36.351,139.026,0.19,13699,9829,井野,井野川,
2175,36.347,139.038,18.599,36.346,139.039,0.094,13708,9831,染谷川,染谷川,
2176,36.217,138.803,302.622,36.217,138.803,0.059,13539,9924,石淵橋,鏑川,
2177,36.26,139.026,549.262,36.261,139.026,0.071,13699,9893,岩井,鏑川,
2178,36.27,139.042,554.214,36.271,139.043,0.112,13711,9886,山名,鏑川,
2179,36.24,138.717,82.6,36.24,138.717,0.057,13477,9908,本宿,鏑川,
2180,36.253,138.878,348.556,36.253,138.878,0.067,13593,9898,七日市,鏑川,
2181,36.209,138.792,298.355,36.209,138.792,0.031,13531,9930,東部大橋,鏑川,
2182,36.269,138.98,1.08,36.268,138.98,0.084,13666,9887,岩崎,鏑川,
2183,36.192,138.96,41.653,36.192,138.96,0.054,13652,9942,上鹿島橋,鮎川,
2184,36.245,139.042,68.397,36.245,139.042,0.034,13711,9904,鮎川,鮎川,
2185,36.249,138.94,2.987,36.249,138.94,0.049,13637,9901,白倉,白倉川,
2186,36.258,138.837,13.714,36.257,138.837,0.073,13563,9895,丹生,丹生川,
2187,36.197,138.888,20.147,36.197,138.889,0.09,13600,9939,秋畑,雄川,
2188,36.322,138.888,121.789,36.321,138.888,0.061,13600,9849,安中,碓氷川,
2189,36.341,138.912,1.411,36.339,138.911,0.23,13617,9835,板鼻,碓氷川,
2190,36.328,138.859,71.183,36.327,138.859,0.163,13579,9844,花の木,九十九川,
2191,36.338,138.892,27.724,36.338,138.892,0.039,13603,9837,自性寺,秋間川,
2192,36.326,138.841,14.493,36.326,138.841,0.034,13566,9846,中後閑,後閑川,
2193,36.324,138.819,31.75,36.324,138.819,0.04,13550,9847,国衙,増田川,
2194,36.359,138.955,38.209,36.359,138.955,0.013,13648,9822,西新波,榛名白川,
2195,36.397,138.951,34.11,36.396,138.951,0.065,13645,9795,箕郷,榛名白川,
2196,36.391,138.827,13.167,36.39,138.827,0.108,13556,9799,上室田,榛名川,
2197,36.459,139.031,10.401,36.459,139.031,0.024,13703,9750,漆原,滝の沢川,
2198,36.467,139.026,17.26,36.467,139.026,0.049,13699,9744,半田,午王川,
2199,36.559,139.055,35.297,36.559,139.056,0.101,13720,9678,清水橋,沼尾川,
2200,36.623,138.92,45.844,36.623,138.92,0.015,13623,9632,尻高,名久田川,
2201,36.516,138.778,93.426,36.516,138.777,0.134,13521,9709,大戸,温川,
2202,36.731,139.062,25.459,36.731,139.061,0.075,13725,9554,上発知,発知川,
2203,36.727,138.869,37.278,36.728,138.869,0.105,13586,9557,吹路,西川,
2204,36.337,139.019,4.556,36.337,139.019,0.031,13694,9838,稲荷,一貫堀川,
2205,36.256,139.467,4.577,36.256,139.467,0.043,14017,9896,新中野,孫兵衛川,
2206,36.217,139.419,5904.346,36.219,139.422,0.343,13982,9924,休泊川排水機場内水位,休泊川,
2207,36.217,139.419,5904.346,36.218,139.421,0.214,13982,9924,休泊川排水機場外水位,休泊川,
2208,36.256,139.415,19.123,36.257,139.414,0.099,13979,9896,西小泉,休泊川,
2209,36.383,139.04,6.799,36.383,139.04,0.055,13709,9805,元総社,牛池川,
2210,36.201,139.505,1.51,36.198,139.504,0.309,14044,9936,新堀川排水機場内水位,新堀川,
2211,36.201,139.505,1.51,36.198,139.504,0.309,14044,9936,新堀川排水機場外水位,新堀川,
2212,36.23,139.476,34.785,36.23,139.476,0.033,14023,9915,新堀橋,新堀川,
2213,36.36,139.051,16.552,36.361,139.051,0.07,13717,9821,川曲,滝川,
2214,36.785,139.249,82.029,36.785,139.249,0.054,13860,9515,東小川,小川,
2215,36.331,138.916,23.656,36.331,138.916,0.028,13620,9842,中宿,柳瀬川,
2216,36.284,139.498,1.409,36.284,139.498,0.008,14039,9876,久野橋,姥川,
2217,35.892,139.824,180.951,35.892,139.824,0.049,14274,10158,浄化用水門外水位,利根川管内,
2218,35.881,139.819,1.059,35.882,139.821,0.219,14270,10166,大相模調節池,利根川管内,
2219,35.87,139.838,2.597,35.87,139.838,0.024,14284,10174,大相模排水場（内水位）,利根川管内,
2220,35.87,139.838,2.597,35.87,139.838,0.024,14284,10174,大相模排水場（外水位）,利根川管内,
2221,36.385,139.058,3261.35,36.385,139.057,0.074,13722,9803,前橋,利根川,
2222,36.262,139.197,5105.694,36.263,139.197,0.139,13822,9892,八斗島,利根川,
2223,36.24,139.38,5894.536,36.24,139.381,0.111,13954,9908,古戸,利根川,
2224,36.192,139.515,6013.871,36.194,139.515,0.185,14051,9942,川俣,利根川,
2225,36.184,139.63,6022.114,36.181,139.629,0.345,14134,9948,利根川１３８５,利根川,
2226,36.173,139.648,1.025,36.173,139.647,0.083,14147,9956,利根川１３６５,利根川,
2227,36.156,139.681,1.738,36.159,139.682,0.313,14171,9968,利根川１３３０,利根川,
2228,36.145,139.702,8672.199,36.144,139.702,0.126,14186,9976,栗橋,利根川,
2229,36.122,139.766,29.261,36.122,139.766,0.053,14232,9993,利根関宿,利根川,
2230,36.391,139.059,1.557,36.391,139.06,0.088,13723,9799,県庁裏,利根川,
2231,36.497,139.016,3164.166,36.497,139.017,0.106,13692,9723,大正橋,利根川,
2232,36.09,139.766,12.419,36.09,139.776,0.904,14232,10016,西関宿,江戸川,
2233,36.07,139.783,0.863,36.069,139.782,0.139,14244,10030,江戸川,江戸川,
2234,35.992,139.82,12.963,35.992,139.82,0.042,14271,10086,東金野井,江戸川,
2235,35.962,139.835,17.9,35.962,139.833,0.221,14282,10108,江戸川,江戸川,
2236,35.938,139.851,30.983,35.938,139.85,0.065,14293,10125,野田,江戸川,
2237,35.851,139.894,79.977,35.851,139.894,0.041,14324,10188,流山,江戸川,
2238,35.781,139.894,132.221,35.782,139.894,0.086,14324,10238,松戸,江戸川,
2239,36.081,139.785,0.855,36.083,139.779,0.609,14246,10022,中川上流排水機場（外水位）,江戸川,
2240,35.835,139.89,80.723,35.836,139.887,0.243,14321,10199,大場川上流排水機場（外水位）,江戸川,
2241,35.806,139.884,44.319,35.806,139.887,0.268,14317,10220,大場川下流排水機場（外水位）,江戸川,
2242,35.956,139.806,220.674,35.955,139.805,0.179,14261,10112,倉田,中川,
2243,35.906,139.837,424.86,35.907,139.837,0.085,14283,10148,川藤,中川,
2244,35.884,139.838,652.24,35.884,139.838,0.019,14284,10164,吉川,中川,
2245,35.847,139.842,661.279,35.847,139.842,0.062,14287,10191,八条橋,中川,
2246,35.819,139.869,667.604,35.818,139.87,0.141,14306,10211,三郷（1）,中川,
2247,35.806,139.859,672.418,35.806,139.859,0.028,14299,10220,中川,中川,
2248,35.795,139.848,51.258,35.796,139.848,0.096,14291,10228,新大場川水門（外）,中川,
2249,35.778,139.851,737.925,35.779,139.85,0.085,14293,10240,飯塚橋,中川,
2250,35.749,139.862,743.319,35.749,139.861,0.081,14301,10261,高砂,中川,
2251,36.249,139.176,30.201,36.25,139.176,0.082,13807,9901,湧泉橋,元小山川,
2252,36.215,139.66,184.022,36.214,139.661,0.083,14156,9926,谷田川第一排水機場外水位,渡良瀬遊水地,
2253,36.198,139.685,199.48,36.198,139.684,0.128,14174,9938,第一排水門外水位,渡良瀬遊水地,
2254,36.198,139.685,199.48,36.198,139.684,0.128,14174,9938,第一排水門内水位,渡良瀬遊水地,
2255,36.191,139.694,2610.373,36.191,139.694,0.024,14180,9943,古河,渡良瀬川,
2256,36.194,139.44,102.294,36.193,139.44,0.091,13997,9941,福川水門外水位,福川,
2257,36.194,139.44,102.294,36.193,139.44,0.091,13997,9941,福川水門内水位,福川,
2258,36.198,139.426,101.018,36.198,139.425,0.062,13987,9938,落合橋,福川,
2259,36.206,139.376,84.768,36.207,139.376,0.088,13951,9932,井殿橋,福川,
2260,36.206,139.288,41.274,36.206,139.288,0.032,13888,9932,田谷大橋,福川,
2261,36.206,139.288,41.274,36.206,139.289,0.078,13888,9932,弁天橋,福川,
2262,36.208,139.324,51.85,36.208,139.325,0.075,13914,9931,増田前橋,福川,
2263,36.21,139.48,5.517,36.209,139.48,0.158,14026,9929,新入合橋,福川,
2264,36.206,139.288,41.274,36.206,139.288,0.032,13888,9932,福川調節池（内水位）,福川,
2265,36.213,139.19,47.302,36.213,139.189,0.058,13817,9927,栗崎,小山川,
2266,36.181,139.137,32.244,36.182,139.137,0.085,13779,9950,十二天橋,小山川,
2267,36.224,139.28,7.659,36.224,139.279,0.085,13882,9919,清水川排水機場（外水位）,小山川,
2268,36.224,139.274,192.11,36.224,139.275,0.07,13878,9919,内ヶ島,小山川,
2269,36.223,139.241,181.589,36.223,139.241,0.01,13854,9920,砂田橋,小山川,
2270,36.322,138.999,550.088,36.322,139,0.083,13680,9849,高松,烏川,
2271,36.291,139.076,1217.728,36.291,139.076,0.029,13735,9871,岩鼻,烏川,
2272,35.887,139.742,124.55,35.887,139.742,0.039,14215,10162,畷橋,綾瀬川,
2273,35.838,139.806,157.092,35.838,139.807,0.072,14261,10197,谷古宇,綾瀬川,
2274,35.826,139.819,175.022,35.825,139.819,0.08,14270,10206,綾瀬川,綾瀬川,
2275,35.819,139.822,175.736,35.818,139.822,0.094,14272,10211,柳之宮,綾瀬川,
2276,35.792,139.828,203.31,35.792,139.828,0.058,14277,10230,内匠橋,綾瀬川,
2277,35.916,139.702,106.409,35.916,139.702,0.008,14186,10141,横根,綾瀬川,
2278,35.835,139.809,166.152,35.836,139.809,0.064,14263,10199,神明排水機場（外水位）,綾瀬川,
2279,35.966,139.644,87.239,35.966,139.643,0.068,14144,10105,瓦葺,綾瀬川,
2280,35.86,139.774,144.59,35.86,139.774,0.055,14238,10181,一の橋,綾瀬川,
2281,35.835,139.81,8.014,35.835,139.81,0.06,14264,10199,古綾瀬川排水機場（外水位）,綾瀬川,
2282,35.791,139.828,203.325,35.791,139.828,0.043,14277,10231,花畑水門,綾瀬川,
