ID,lat_mod,lon_mod,area_mod,rivname,locname
327,43.061,144.4,2171.9,釧路川,横堤
328,43.171,144.485,1.8,釧路川,シラルトロ上流
329,43.167,144.484,1326.5,釧路川,シラルトロ下流
330,43.164,144.479,1327.4,釧路川,二本松橋
331,43.153,144.505,6.3,釧路川,塘路上流
332,43.152,144.488,1467.6,釧路川,塘路下流
333,43.107,144.475,1.3,釧路川,達古武上流
334,43.107,144.471,1503.5,釧路川,達古武下流
335,43.711,144.009,571,網走川,津別
336,43.836,144.098,824,網走川,美幌
337,43.898,144.133,1120,網走川,本郷
338,43.958,144.199,1319,網走川,川尻漁場
339,44.005,144.231,1352,網走川,大曲
340,43.829,144.122,199,美幌川,美幌橋
341,43.931,144.21,115.5,女満別川,湖南(廃止)
342,43.682,143.599,422,常呂川,置戸
343,43.755,143.84,664,常呂川,上常呂
344,43.799,143.913,1394,常呂川,北見
345,43.921,143.968,1550,常呂川,忠志
346,44.013,143.986,1809,常呂川,太茶苗
347,44.058,144.031,1898,常呂川,上川沿
348,44.119,144.072,1921,常呂川,河口
349,43.788,143.621,418,無加川,留辺蘂
350,43.789,143.89,559,無加川,北光社
351,43.913,143.911,157,仁頃川,豊実(廃止)
352,35.371,132.676,471,神戸川,外園
353,35.404,132.666,0,日本海,大社
354,35.453,133.102,-9999,神戸川,上橋波
355,44.006,143.338,802,湧別川,丸瀬布
356,44.052,143.519,958,湧別川,遠軽
357,44.099,143.544,1335,湧別川,開盛
358,44.199,143.593,1453,湧別川,中湧別
359,44.053,143.544,280,生田原川,対遠橋
360,44.192,143.076,233,渚滑川,滝ノ上
361,44.249,143.259,1051,渚滑川,上渚滑
362,44.349,143.274,1198,渚滑川,ウツツ橋
363,44.379,143.301,1226,渚滑川,渚滑橋
364,44.137,143.201,163.1,立牛川,立牛(廃止)
365,26.474,127.951,9,漢那福地川,漢那橋
366,26.642,128.167,33,福地川,川田
367,26.666,128.254,10,新川川,高江橋
368,26.718,128.282,24,安波川,上安波
369,26.722,128.288,15,普久川,下普久川
370,26.829,128.282,5.5,奥川,奥（廃止）
371,26.492,127.914,4.9,億首川,億首（基２）（廃止）
372,26.485,127.927,-9999,億首川,基３（幸地川）
374,26.454,127.943,-9999,億首川,福花橋
375,26.492,127.914,4.9,億首川,基２（喜瀬武原）
376,26.82,128.249,4.1,座津武川,座津武（廃止）
377,38.048,140.924,5404.8,阿武隈川,阿武隈川河口
378,38.049,140.912,5274,阿武隈川,荒浜
379,38.096,140.872,5265,阿武隈川,岩沼
380,38.077,140.824,-9999,阿武隈川,小山
381,38.018,140.801,4398,阿武隈川,江尻
382,37.958,140.799,4347,阿武隈川,笠松
383,37.922,140.756,4173,阿武隈川,丸森
384,37.926,140.754,4133,阿武隈川,舘矢間
385,38.062,140.771,796,白石川,船岡大橋
386,38.053,140.919,-9999,阿武隈川,新浜
387,38.104,140.876,-9999,不明(阿武隈川水系),志引橋
388,37.868,140.609,3955.9,阿武隈川,八幡
389,37.833,140.617,247,広瀬川,大関
390,37.829,140.52,3663.4,阿武隈川,伏黒
391,37.811,140.496,316,摺上川,瀬ノ上
392,37.813,140.272,29.4,松川,前川第２ダム
393,37.781,140.443,78.4,松川,清水
394,37.761,140.378,40,天戸川,天戸川
395,37.755,140.402,90.8,須川,舘ノ下
396,37.75,140.469,3171.9,阿武隈川,福島
397,37.751,140.453,178.7,荒川,八木田
398,37.75,140.388,25.3,白津川,水保
399,37.736,140.389,68.7,荒川,上名倉
400,37.727,140.473,2886,阿武隈川,黒岩
401,37.694,140.341,62.2,荒川,荒川第５ダム
402,37.683,140.328,35.1,荒川,土湯
403,37.682,140.327,6.1,東鴉川,東鴉川
404,37.674,140.311,16.9,荒川,荒川第１０ダム
405,37.654,140.312,3,荒川,東鴉川第４ダム
406,37.594,140.465,2331.8,阿武隈川,二本松
407,37.582,140.513,120,移川,移川
408,37.516,140.404,2283.5,阿武隈川,本宮
409,37.408,140.409,1865.2,阿武隈川,阿久津
410,37.346,140.374,1292.8,阿武隈川,御代田
411,37.301,140.385,910.2,阿武隈川,須賀川
412,37.287,140.354,275.8,釈迦堂川,西川
413,37.273,140.407,905.4,阿武隈川,小作田
414,37.142,140.415,440.6,社川,小金石
415,37.134,140.209,172.4,阿武隈川,白河
416,37.912,140.426,-9999,摺上川,秋庭
417,37.95,140.34,-9999,摺上川,稲子沢
418,37.843,140.441,-9999,摺上川,西根上堰
419,37.83,140.456,82,摺上川,西根下堰
420,37.994,140.444,126,白石川,関
421,37.995,140.457,50,白石川,萩崎
422,37.951,140.555,281,白石川,塩倉
423,38.012,140.62,345,白石川,白石
424,38.036,140.696,684,白石川,北白川
425,37.98,140.56,295,白石川,小日向
426,37.953,140.529,240,白石川,冷清水
427,38.09,140.658,106.4,白石川,永野
428,38.049,140.738,690.4,白石川,大河原
429,37.962,140.513,237,白石川,七ヶ宿ダム
430,37.415,140.608,53.7,牧野川,牧野
431,37.437,140.648,63.4,大滝根川,常葉
432,37.424,140.525,180,大滝根川,光大寺
433,37.37,140.429,249,大滝根川,赤沼
434,38.178,140.952,776,名取川,閖上第二
435,38.205,140.912,772,名取川,袋原
436,38.206,140.886,431,名取川,名取橋
437,38.268,140.59,49.6,名取川,野尻
438,38.236,140.889,309,広瀬川,広瀬橋
439,38.269,140.809,274,広瀬川,落合
440,38.216,140.864,-9999,笊川,杉の下橋
441,38.196,140.931,773.4,名取川,中村
442,38.218,140.814,424,名取川,余方
443,38.235,140.708,130,名取川,湯元
444,38.199,140.727,207.3,碁石川,碁石
445,38.209,140.637,38,太郎川,馬引
446,38.173,140.665,68.7,前川,前川
447,38.201,140.605,56.6,北川,下原
448,38.218,140.815,424.3,名取川,余方
449,38.379,141.17,1158.4,鳴瀬川,野蒜
450,38.406,141.149,788.7,鳴瀬川,小野
451,38.435,141.116,739.3,鳴瀬川,鹿島台
452,38.498,141.119,-9999,鳴瀬川,竹谷
453,38.527,141.059,707,鳴瀬川,野田橋
454,38.531,141.023,701.6,鳴瀬川,下中ノ目
455,38.527,140.949,550.8,鳴瀬川,三本木橋
456,38.343,141.168,0,鳴瀬川,宮戸
457,38.405,141.149,350.6,吉田川,小野
458,38.435,141.116,337.4,吉田川,鹿島台
459,38.442,141.068,335,吉田川,幡谷
460,38.436,140.996,298.2,吉田川,粕川
461,38.432,140.891,68.7,吉田川,高田橋
462,38.428,140.929,197.2,吉田川,落合
463,38.459,140.883,51,善川,塩浪
464,38.415,140.889,-9999,竹林川,新田橋
465,38.524,140.91,513.7,鳴瀬川,高倉橋
466,39.713,141.131,1216.95,北上川,館坂橋
467,39.693,141.149,2183.58,北上川,明治橋
468,39.673,141.162,2347.3,北上川,津志田
469,39.621,141.183,2419.9,北上川,乙部
470,39.553,141.176,2579.8,北上川,紫波橋
471,39.494,141.156,2752.1,北上川,大正橋
472,39.392,141.13,4228.6,北上川,朝日橋
473,39.352,141.144,4421,北上川,更木
474,39.285,141.13,4541.2,北上川,珊瑚橋
475,39.261,141.122,5458.7,北上川,男山
476,39.252,141.114,5459.8,北上川,国見橋
477,39.196,141.128,5544.6,北上川,金ヶ崎橋
478,39.168,141.155,6006,北上川,桜木橋
479,39.136,141.176,6245.6,北上川,小谷木橋
480,39.065,141.163,6398.9,北上川,大曲橋
481,39.02,141.136,6485.1,北上川,箱石
482,38.976,141.138,6738.3,北上川,長島
483,38.948,141.171,7065.6,北上川,狐禅寺
484,38.951,141.191,7095.1,北上川,相川
485,38.899,141.263,7509.5,北上川,諏訪前
486,38.843,141.263,7641.2,北上川,七日町
487,39.925,141.229,322,丹藤川,滝
488,39.712,141.179,195.8,中津川,山岸
489,39.698,141.067,664,雫石川,滝太橋
490,39.704,141.122,744.82,雫石川,太田橋
491,39.393,141.151,959.15,猿ヶ石川,安野
492,39.379,141.107,164.2,豊沢川,不動橋
493,39.205,141.159,111,広瀬川,岩瀬橋
494,39.186,141.182,100.7,人首川,岩谷堂
495,39.016,141.091,169.5,衣川,川西橋
496,38.94,141.052,172.5,磐井川,五串
497,38.928,141.128,279.9,磐井川,釣山
498,38.929,141.254,361.9,砂鉄川,妻神
499,38.896,141.29,84.4,千厩川,矢作
500,38.861,141.32,64,黄海川,西口
501,38.976,141.24,348,砂鉄川,十二木橋
502,38.991,141.124,-9999,北上川,高館橋
503,39.278,141.124,2.3,北上川,大曲川（内水）
504,39.279,141.124,2.3,北上川,大曲川（外水）
