GRDC Station Number,Latitude,Longitude,Catchment Area,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1160245,-33.13444519,19.06055641,183,Dri-Das-Bosch (27711428),VIER-EN-TWINTIG-RIVIERE,ZA,2020/1/31,2019/2/12,-999,130
1160250,-33.46389008,18.74027824,246,Malmesbury (27711312),DIEPRIVIER,ZA,2020/1/31,2019/2/12,-999,117
1160255,-33.70500183,18.69972229,473,Klippheuwel (27711313),MOSSELBANKRIVIER,ZA,2020/1/31,2018/5/22,-999,59
1160257,-33.58194351,18.3619442,23,Buffels River (27711318),SILWERSTROOMRIVIER,ZA,2020/1/31,2018/5/22,-999,14
1160260,-33.80861282,18.9841671,726,Farm 187 (27711407),BERGRIVIER,ZA,2020/1/31,2018/5/22,-999,140
1160265,-33.31388855,19.07444382,395,Nieuwkloof (27711408),KLEIN-BERGRIVIER,ZA,2020/1/31,2019/2/12,-999,93
1160270,-33.35222244,19.10027885,35,Watervalsberge (27711412),WATERVALRIVIER,ZA,2020/1/31,2018/5/22,1160265,277
1160271,-33.37944412,19.14944458,27,Watervalsberge (27711411),WATERVALRIVIER,ZA,2020/1/31,2019/2/12,1160270,181
1160275,-33.38805771,19.15916634,10,Knolvlei Bos Res. (27711410),KNOLVLEISPRUIT,ZA,2020/1/31,2019/2/12,1160265,176
1160290,-33.91249847,18.94388962,30,Jonkershoek (27711419),BANGHOEKRIVIER,ZA,2020/1/31,2019/2/12,1160260,259
1160295,-33.89055634,19.07888985,46,Le Mouillage (27711403),FRANSCHHOEKRIVIER,ZA,2020/1/31,2019/2/12,1160260,199
1160300,-33.3805542,19.30138969,657,Ceres Toeken Geb.,BREE,ZA,2020/1/31,2019/2/12,1160301,441
1160301,-33.42166519,19.26694489,753,Ceres Toeken Geb.,BREE,ZA,2020/1/31,2019/2/12,1160302,294
1160302,-34.07027817,20.38999939,9854,Oude Pont (27694301),BREE,ZA,2020/1/31,2018/5/22,-999,77
1160310,-33.35944366,19.29805565,52,Ceres (27694913),KOEKEDOURIVIER,ZA,2020/1/31,2019/2/12,1160300,455
1160315,-33.46166611,19.61722183,16,Roode Els Berg (27694805),ROOIELSKLOOFRIVIER,ZA,2020/1/31,2019/2/12,1160300,482
1160317,-33.56833267,19.14472198,85,Drosterskloof (27694907),WITRIVIER,ZA,2020/1/31,2019/2/12,1160302,273
1160318,-33.75666809,19.32972145,152,D/S Dashboch River (27694912),HOLSLOOT,ZA,2020/1/31,2018/5/22,1160302,296
1160320,-32.5027771,19.53499985,6895,Elands Drift - Aspoort (27712202),DORINGRIVIER,ZA,2020/1/31,2019/2/12,-999,389
1160324,-33.76388931,19.85083389,24,Langevalley (27694705),WILLEM NELSRIVIER,ZA,2020/1/31,2018/5/22,1160302,558
1160325,-34.01027679,19.83777809,18,Hoeksberg (27694709),HOEKSRIVIER,ZA,2020/1/31,2018/5/22,1160302,336
1160327,-33.95416641,19.58722115,15,Poesjenels River (27694712),WATERKLOOFSPRUIT,ZA,2020/1/31,2018/5/22,1160302,370
1160328,-33.98333359,19.32916641,15,Waggensbooms Kloof (27694410),WATERKLOOF,ZA,2020/1/31,2019/2/12,-999,405
1160330,-32.6016655,18.74944305,660,Tweekuilen (27711501),KRUISRIVIER,ZA,2020/1/31,2018/5/22,1160320,51
1160331,-33.96472168,19.29138947,56,Twist Niet (27694406),ELANDSRIVIER,ZA,2020/1/31,2018/5/22,1160302,389
1160332,-33.93861008,19.17055511,46,Purgatory Uitspan (27694407),DUTOITSRIVIER,ZA,2020/1/31,2018/5/22,1160302,389
1160340,-33.56222153,19.51000023,699,New Glen Heatlie (27694801),HEXRIVIER,ZA,2020/1/31,2018/5/22,1160302,302
1160343,-33.79111099,20.12388992,593,Montague (27694601),KINGNARIVIER,ZA,2020/1/31,2018/5/22,1160302,214
1160345,-33.70888901,20.05833244,76,Keisiesdoorns (27694605),KEISIERIVIER,ZA,2020/1/31,2019/2/12,1160302,324
1160346,-33.69638824,19.92805672,14,Harmonie (27694604),KEISIERIVIER,ZA,2020/1/31,2018/5/22,1160345,544
1160347,-33.59638977,19.76194382,106,Dwars In Die Weg (27694708),KOORIVIER,ZA,2020/1/31,2018/5/22,1160340,703
1160348,-33.63861084,19.81361008,48,Die Koo (27694707),KOORIVIER,ZA,2020/1/31,2018/5/22,1160347,829
1160350,-33.57194519,20.70194435,2900,Zandfontein,TOUWSRIVIER,ZA,2020/1/31,2018/5/22,-999,459
1160351,-33.94527817,22.61416626,79,Farm 162 (27692705),TOUWSRIVIER,ZA,2020/1/31,2019/2/12,1160350,136
1160361,-33.28805542,19.72722244,30,Verlorenvalley (27693216),SMALBLAARRIVIER,ZA,2020/1/31,2019/2/12,1160350,889
1160365,-33.48944473,21.48916626,268,Zoar (27693405),HUISRIVIER,ZA,2020/1/31,2019/2/12,1160350,471
1160367,-33.48944473,21.48944473,25,Opzoek (27693406),BOPLAASRIVIER,ZA,2020/1/31,2019/2/12,1160365,470
1160368,-33.49194336,21.51416779,25,Opzoek (27693407),JOUBERTRIVIER,ZA,2020/1/31,2019/2/12,1160365,469
1160370,-34.0308342,21.58638954,95,Weyers River (27693103),WEYERSRIVIER,ZA,2020/1/31,2019/2/12,-999,119
1160375,-33.98749924,21.75972176,101,Langfontein (27693104),LANGTOURIVIER,ZA,2020/1/31,2018/5/22,-999,102
1160378,-33.31000137,21.63416672,17076,Spek Boom Berg,GAMKARIVIER,ZA,2020/1/31,2019/2/12,-999,-999
1160380,-33.47694397,23.02944374,4230,Pardekloof (27693304),OLIFANTSRIVIER,ZA,2020/1/31,2018/5/22,-999,571
1160385,-33.54527664,22.9738884,33,Wilgehoute River (27693316),WILGERIVIER,ZA,2020/1/31,2019/2/12,-999,652
1160390,-33.47555542,22.54777718,692,De Rust (27693312),GROOTRIVIER,ZA,2020/1/31,2018/5/22,-999,480
1160393,-33.6791687,22.13999939,351,Paardendrift (27693317),KANDELAARSRIVIER,ZA,2020/1/31,2019/2/12,-999,278
1160395,-33.36805725,22.17916679,29,Groenefontein (27693313),PERDEPOORTRIVIER,ZA,2020/1/31,2019/2/12,-999,698
1160396,-33.46749878,22.00055695,137,Koetzers Kraal (27693318),WYNANADSRIVIER,ZA,2020/1/31,2019/2/12,-999,460
1160398,-33.4608345,21.96027756,35,Vogelfontein (27693320),MEULRIVIER,ZA,2020/1/31,2019/2/12,1160396,583
1160400,-34.00666809,22.35027885,145,Knoetze Kama (27692703),MAALGATERIVIER,ZA,2020/1/31,2019/2/12,-999,117
1160405,-33.95083237,22.42222214,34,Blanco (27692704),MALGASRIVIER,ZA,2020/1/31,2019/2/12,-999,200
1160415,-34.10305786,22.07138824,144,Hartenbosch (27692901),HARTENBOSRIVIER,ZA,2020/1/31,2018/5/22,-999,11
1160420,-33.97083282,22.54722214,47,Upper Barbierskraal (27692701),KAAIMANSRIVIER,ZA,2020/1/31,2019/2/12,-999,75
1160425,-33.91249847,22.70777893,72,Woodville Forest Res. (27692603),DIEPRIVIER,ZA,2020/1/31,2019/2/12,-999,218
1160427,-33.8805542,22.83777809,23,Karatara Forest Res. (27692602),KARATARARIVIER,ZA,2020/1/31,2019/2/12,-999,256
1160430,-33.89083481,23.02916718,135,Milwood Forest Res. (27692502),KNYSNARIVIER,ZA,2020/1/31,2019/2/12,-999,194
1160435,-33.99111176,23.0419445,94,Gouna Commonage Con. (27692501),GOUNARIVIER,ZA,2020/1/31,2018/5/22,-999,61
1160440,-33.9383316,23.36722183,764,Newlands (27692402),KEURBOOMSRIVIER,ZA,2020/1/31,2018/5/22,-999,15
1160441,-33.80333328,23.1352787,162,Mkama (27692401),KEURBOOMSRIVIER,ZA,2020/1/31,2019/2/12,1160440,320
1160450,-33.73777771,23.30416679,53,Welgelegen (27691302),JORDAANSRIVIER,ZA,2020/1/31,2019/2/12,-999,780
1160455,-33.95555496,23.63833237,56,Lotterings For. Res. (27692301),BLOUKRANSRIVIER,ZA,2020/1/31,2019/2/12,-999,36
1160457,-33.86555481,23.83555603,21,Diepkloof (27691301),WABOOMSRIVIER,ZA,2020/1/31,2019/2/12,-999,578
1160460,-33.73083115,24.61777878,29571,Grootrivierspoort (27691206),GROOTRIVIER,ZA,2020/1/31,2019/2/12,-999,133
1160470,-33.20360947,24.2341671,1296,Campherspoort (27691501),HEUNINGKLIPRIVIER,ZA,2020/1/31,2019/2/12,1160460,500
1160480,-32.23777771,23.05055618,3943,Kamferskraal (27691901),SOUTRIVIER,ZA,2020/1/31,2018/5/22,-999,944
1160481,-32.06888962,23.00749969,3672,Klipkraal (27691902),SOUTRIVIER,ZA,2020/1/31,2018/5/22,1160480,1003
1160487,-33.79722214,25.30888939,394,Wintcanton (27683204),ELANDSRIVIER,ZA,2020/1/31,2019/2/12,-999,83
1160490,-33.00027847,25.1641674,1742,Riet Vley (27682302),VOELRIVIER,ZA,2020/1/31,2018/5/22,-999,312
1160495,-33.10749817,25.22833252,542,Volkers River (27682209),VOLKERSRIVIER,ZA,2020/1/31,2018/5/22,-999,264
1160500,-33.32916641,26.07749939,1479,Donker Hoek Alicedale,BOESMANSRIVIER,ZA,2020/1/31,2019/2/12,-999,276
1160510,-33.09805679,26.44472122,23067,Brandt Legte Piggot'S Bridge,GREAT FISH RIVER,ZA,2020/1/31,2019/2/12,1160580,300
1160511,-31.90305519,25.48166656,9545,Katkop (27673901),GREAT FISH RIVER,ZA,2020/1/31,2018/5/22,1160510,975
1160512,-31.90416718,25.43055534,1717,Zoutpansdrift (27673802),GREAT FISH RIVER,ZA,2020/1/31,2019/2/12,1160511,980
1160520,-31.56999969,25.54388809,1565,Jan Blaauws Kop (27673912),TEEBUSRIVIER,ZA,2020/1/31,2019/2/12,1160511,1120
1160525,-32.38555527,25.5205555,878,Coutzenburg (27673704),PAULSRIVIER,ZA,2020/1/31,2019/2/12,1160510,1337
1160530,-32.60583115,25.88444328,806,Botmansgat (27673403),BAVIAANSRIVIER,ZA,2020/1/31,2019/2/12,1160510,630
1160535,-31.96833229,26.00111008,1308,Roberts Kraal (27673603),VLEKPOORTRIVIER,ZA,2020/1/31,2018/5/22,1160510,1111
1160540,-33.35527802,26.86138916,47,Kap River Mountains (27673113),KAPRIVIER,ZA,2020/1/31,2018/5/22,-999,267
1160545,-33.50666809,26.74416733,575,Bathurst (27681101),KOWIE RIVER,ZA,2020/1/31,2019/2/12,-999,39
1160550,-32.18083191,26.82055664,462,Whittlesea,OSKRAALRIVIER,ZA,2020/1/31,2018/5/22,-999,1055
1160580,-33.23777771,26.99472237,29745,Matolema'S Location Outspan,GREAT FISH RIVER,ZA,2020/1/31,2019/2/12,-999,38
