ID,lat_mod,lon_mod,area_mod,lat_ori,lon_ori,area_ori,Memo,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1160120,-34.292,20.023,381,-34.292,20.023,381, ,Kykoedy (27711108),SOUTRIVIER,ZA,2020/1/31,2019/2/12,-999,140
1160200,-30.824,18.118,2351,-30.824,18.118,2351, ,Bruintjieshoogte (27713201),SWART-DORINGRIVIER,ZA,2020/1/31,2019/2/12,-999,175
1160210,-33.986,18.956,20,-33.986,18.956,20, ,Jonkershoek (27711308),JONKERSHOEKRIVIER,ZA,2020/1/31,2018/5/22,-999,299
1160220,-32.78,19.283,267,-32.78,19.283,267, ,Leeuw (27712207),LEEURIVIER,ZA,2020/1/31,2019/2/12,1160320,837
1160230,-32.212,18.937,163,-32.212,18.937,163, ,Clanwilliam (27712306),JAN DISSELSRIVIER,ZA,2020/1/31,2019/2/12,-999,116
1160235,-31.862,18.686,24044,-31.862,18.686,24044, ,Melkboom,DORINGRIVIER,ZA,2020/1/31,2019/2/12,-999,-999
1160240,-33.185,19.155,19,-33.185,19.155,19, ,Mountain View (27711421),KLEIN-BERGRIVIER,ZA,2020/1/31,2019/2/12,1160265,345
1160245,-33.134,19.061,183,-33.134,19.061,183, ,Dri-Das-Bosch (27711428),VIER-EN-TWINTIG-RIVIERE,ZA,2020/1/31,2019/2/12,-999,130
1160250,-33.464,18.74,246,-33.464,18.74,246, ,Malmesbury (27711312),DIEPRIVIER,ZA,2020/1/31,2019/2/12,-999,117
1160255,-33.705,18.7,473,-33.705,18.7,473, ,Klippheuwel (27711313),MOSSELBANKRIVIER,ZA,2020/1/31,2018/5/22,-999,59
1160257,-33.582,18.362,23,-33.582,18.362,23, ,Buffels River (27711318),SILWERSTROOMRIVIER,ZA,2020/1/31,2018/5/22,-999,14
1160260,-33.809,18.984,726,-33.809,18.984,726, ,Farm 187 (27711407),BERGRIVIER,ZA,2020/1/31,2018/5/22,-999,140
1160265,-33.314,19.074,395,-33.314,19.074,395, ,Nieuwkloof (27711408),KLEIN-BERGRIVIER,ZA,2020/1/31,2019/2/12,-999,93
1160270,-33.352,19.1,35,-33.352,19.1,35, ,Watervalsberge (27711412),WATERVALRIVIER,ZA,2020/1/31,2018/5/22,1160265,277
1160271,-33.379,19.149,27,-33.379,19.149,27, ,Watervalsberge (27711411),WATERVALRIVIER,ZA,2020/1/31,2019/2/12,1160270,181
1160275,-33.388,19.159,10,-33.388,19.159,10, ,Knolvlei Bos Res. (27711410),KNOLVLEISPRUIT,ZA,2020/1/31,2019/2/12,1160265,176
1160290,-33.912,18.944,30,-33.912,18.944,30, ,Jonkershoek (27711419),BANGHOEKRIVIER,ZA,2020/1/31,2019/2/12,1160260,259
1160295,-33.891,19.079,46,-33.891,19.079,46, ,Le Mouillage (27711403),FRANSCHHOEKRIVIER,ZA,2020/1/31,2019/2/12,1160260,199
1160300,-33.381,19.301,657,-33.381,19.301,657, ,Ceres Toeken Geb.,BREE,ZA,2020/1/31,2019/2/12,1160301,441
1160301,-33.422,19.267,753,-33.422,19.267,753, ,Ceres Toeken Geb.,BREE,ZA,2020/1/31,2019/2/12,1160302,294
1160302,-34.07,20.39,9854,-34.07,20.39,9854, ,Oude Pont (27694301),BREE,ZA,2020/1/31,2018/5/22,-999,77
1160310,-33.359,19.298,52,-33.359,19.298,52, ,Ceres (27694913),KOEKEDOURIVIER,ZA,2020/1/31,2019/2/12,1160300,455
1160315,-33.462,19.617,16,-33.462,19.617,16, ,Roode Els Berg (27694805),ROOIELSKLOOFRIVIER,ZA,2020/1/31,2019/2/12,1160300,482
1160317,-33.568,19.145,85,-33.568,19.145,85, ,Drosterskloof (27694907),WITRIVIER,ZA,2020/1/31,2019/2/12,1160302,273
1160318,-33.757,19.33,152,-33.757,19.33,152, ,D/S Dashboch River (27694912),HOLSLOOT,ZA,2020/1/31,2018/5/22,1160302,296
1160320,-32.503,19.535,6895,-32.503,19.535,6895, ,Elands Drift - Aspoort (27712202),DORINGRIVIER,ZA,2020/1/31,2019/2/12,-999,389
1160324,-33.764,19.851,24,-33.764,19.851,24, ,Langevalley (27694705),WILLEM NELSRIVIER,ZA,2020/1/31,2018/5/22,1160302,558
1160325,-34.01,19.838,18,-34.01,19.838,18, ,Hoeksberg (27694709),HOEKSRIVIER,ZA,2020/1/31,2018/5/22,1160302,336
1160327,-33.954,19.587,15,-33.954,19.587,15, ,Poesjenels River (27694712),WATERKLOOFSPRUIT,ZA,2020/1/31,2018/5/22,1160302,370
